Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
81,0.004000,0.394994,0.681008,1.992873,2.664604,177.281636,142.314400,0.034042,0.047053,0.071829,0.081939,5.790472,6.508424,0.000297,0.000425,0.000668,0.000763,0.057871,0.065158,0.001543,0.001840
82,0.004000,0.392666,0.681017,1.842257,1.312873,172.613906,158.245222,0.033682,0.044384,0.071423,0.079446,5.769679,6.660756,0.000293,0.000400,0.000664,0.000747,0.057661,0.066683,0.001533,0.001813
83,0.004000,0.395409,0.678093,1.896582,0.640149,169.086012,147.871727,0.033979,0.045204,0.071278,0.079320,5.768121,6.688404,0.000296,0.000407,0.000663,0.000750,0.057645,0.066961,0.001536,0.001827
84,0.004000,0.394079,0.681464,1.858024,1.964516,165.660227,147.808863,0.033777,0.043677,0.070454,0.079541,5.747281,6.619573,0.000294,0.000393,0.000656,0.000743,0.057434,0.066294,0.001524,0.001799
85,0.004000,0.392752,0.679241,1.747940,3.179721,184.879693,137.382783,0.033572,0.042495,0.071075,0.084349,5.812148,6.289013,0.000292,0.000381,0.000661,0.000785,0.058086,0.062973,0.001534,0.001796
86,0.004000,0.395596,0.681834,1.855868,1.186673,177.889760,131.390856,0.033669,0.042446,0.070888,0.078504,5.821638,6.320527,0.000293,0.000381,0.000660,0.000735,0.058182,0.063292,0.001535,0.001749
87,0.004000,0.394172,0.681558,2.044896,1.477623,171.211548,145.119618,0.033348,0.044698,0.070713,0.078173,5.710152,6.387893,0.000290,0.000402,0.000658,0.000732,0.057063,0.063962,0.001519,0.001774
88,0.004000,0.394207,0.683197,1.791252,3.590501,179.742599,145.744812,0.033454,0.043747,0.070207,0.081849,5.771635,6.556618,0.000291,0.000394,0.000653,0.000758,0.057676,0.065656,0.001521,0.001809
89,0.004000,0.393045,0.683244,1.772516,3.866220,155.719415,147.698407,0.032969,0.044298,0.069124,0.082203,5.573571,6.567199,0.000286,0.000399,0.000641,0.000762,0.055697,0.065762,0.001484,0.001818
90,0.004000,0.394824,0.678230,1.854014,3.230735,171.121310,142.152388,0.033450,0.044095,0.069941,0.083813,5.674396,6.440838,0.000291,0.000396,0.000650,0.000782,0.056713,0.064492,0.001508,0.001823
91,0.004000,0.394857,0.686440,1.805495,3.351225,167.649474,144.333751,0.033360,0.042689,0.070611,0.085177,5.706940,6.442518,0.000290,0.000384,0.000656,0.000792,0.057028,0.064514,0.001516,0.001821
92,0.004000,0.393606,0.679857,2.031968,0.915872,167.189635,137.951532,0.032948,0.042975,0.069924,0.076196,5.629161,6.310651,0.000286,0.000386,0.000651,0.000718,0.056254,0.063191,0.001499,0.001736
