epoch,lr,trainset_Energy_MAE,trainset_Force_MAE,trainset_Stress_MAE,trainset_Energy_Loss,trainset_Force_Loss,trainset_Stress_Loss,trainset_TotalLoss,validset_Energy_MAE,validset_Force_MAE,validset_Stress_MAE,validset_Energy_Loss,validset_Force_Loss,validset_Stress_Loss,validset_TotalLoss
1,145290,0.009218,0.030101,0.099848,7.165406,0.000256,0.000951,0.071604,0.001923,0.029028,0.099953,7.193103,0.000245,0.000952,0.071910,0.001917
1,147280,0.009197,0.028794,0.099035,7.099222,0.000243,0.000943,0.070942,0.001895,0.030507,0.100936,7.185540,0.000260,0.000961,0.071837,0.001940
1,149271,0.009175,0.028930,0.098631,7.069862,0.000244,0.000939,0.070649,0.001890,0.030787,0.098252,6.923498,0.000262,0.000935,0.069214,0.001890
1,151261,0.009153,0.028585,0.098785,7.164115,0.000241,0.000940,0.071591,0.001897,0.029926,0.099007,7.186122,0.000254,0.000943,0.071838,0.001915
1,153251,0.009131,0.042953,0.125601,9.100007,0.000384,0.001202,0.090950,0.002495,0.063839,0.184038,10.818501,0.000590,0.001793,0.108169,0.003465
1,155242,0.009109,0.047091,0.131660,8.600498,0.000424,0.001269,0.085955,0.002552,0.042048,0.114393,7.792601,0.000373,0.001095,0.077904,0.002247
1,157232,0.009086,0.035237,0.108785,7.537460,0.000306,0.001040,0.075325,0.002100,0.034563,0.104536,7.337408,0.000300,0.000998,0.073354,0.002031
1,159222,0.009064,0.076999,0.185857,29.764395,0.000723,0.001814,0.297594,0.005513,0.065820,0.187057,10.873205,0.000610,0.001824,0.108715,0.003521
1,161212,0.009040,0.056295,0.161408,9.821551,0.000515,0.001567,0.098166,0.003064,0.053625,0.143366,9.407494,0.000489,0.001386,0.094050,0.002815
1,163203,0.009017,0.042208,0.129826,8.409974,0.000375,0.001250,0.084050,0.002466,0.036275,0.120559,7.985678,0.000317,0.001158,0.079835,0.002273
1,165193,0.008994,0.035398,0.115269,7.927041,0.000308,0.001105,0.079220,0.002205,0.055949,0.114100,7.492857,0.000512,0.001094,0.074906,0.002355
1,167183,0.008970,0.032423,0.107616,7.434031,0.000279,0.001029,0.074290,0.002050,0.034928,0.108614,7.545772,0.000303,0.001038,0.075435,0.002096
1,169173,0.008946,0.031698,0.103651,7.328944,0.000271,0.000989,0.073240,0.001993,0.030155,0.102070,7.303642,0.000257,0.000973,0.073015,0.001960
1,171164,0.008921,0.030814,0.101452,7.216625,0.000263,0.000967,0.072116,0.001951,0.035358,0.100548,7.027357,0.000306,0.000958,0.070253,0.001967
1,173154,0.008897,0.066280,0.186817,30.449076,0.000616,0.001807,0.304441,0.005467,0.052673,0.169927,10.348993,0.000479,0.001652,0.103470,0.003166
1,175144,0.008872,0.046138,0.150271,9.248967,0.000414,0.001455,0.092440,0.002793,0.042507,0.136154,8.525610,0.000378,0.001314,0.085234,0.002545
1,177135,0.008847,0.038215,0.128201,8.262800,0.000336,0.001234,0.082578,0.002396,0.043042,0.121322,7.937568,0.000383,0.001166,0.079351,0.002342
1,179125,0.008822,0.034186,0.116303,7.678344,0.000296,0.001116,0.076734,0.002179,0.030288,0.110975,7.515595,0.000258,0.001062,0.075133,0.002072
1,181115,0.008796,0.032411,0.110038,7.661076,0.000278,0.001053,0.076561,0.002097,0.033974,0.111713,7.548610,0.000294,0.001070,0.075463,0.002118
1,183105,0.008771,0.039440,0.119921,8.540730,0.000349,0.001151,0.085357,0.002353,0.046846,0.123383,8.075448,0.000421,0.001186,0.080732,0.002415
1,185096,0.008745,0.032761,0.110290,7.603522,0.000282,0.001056,0.075985,0.002098,0.030146,0.104846,7.249198,0.000256,0.001001,0.072468,0.001982
1,187086,0.008718,0.031603,0.105023,7.521426,0.000271,0.001003,0.075164,0.002025,0.028500,0.101454,7.081849,0.000240,0.000967,0.070793,0.001915
1,189076,0.008692,0.030144,0.102794,7.368254,0.000256,0.000980,0.073633,0.001973,0.031410,0.100296,7.179760,0.000268,0.000955,0.071777,0.001941
1,191066,0.008665,0.031987,0.103702,7.408099,0.000275,0.000990,0.074031,0.002005,0.035827,0.104581,7.598052,0.000312,0.000998,0.075958,0.002070
1,193057,0.008638,0.030644,0.102290,7.344500,0.000261,0.000976,0.073395,0.001971,0.032444,0.106367,7.396678,0.000279,0.001016,0.073943,0.002035
1,195047,0.008611,0.029312,0.100993,7.264399,0.000248,0.000963,0.072594,0.001937,0.026070,0.099200,7.006370,0.000217,0.000945,0.070042,0.001862
