Epoch,Learning_rate,Train_Energy_RMSE (eV/atom),Valid_Energy_RMSE (eV/atom),Train_Force_RMSE (eV/Å),Valid_Force_RMSE (eV/Å),Train_Stress_RMSE (kbar),Valid_Stress_RMSE (kbar),Train_Energy_MAE (eV/atom),Valid_Energy_MAE (eV/atom),Train_Force_MAE (eV/Å),Valid_Force_MAE (eV/Å),Train_Stress_MAE (kbar),Valid_Stress_MAE (kbar),Train_Energy_Loss,Valid_Energy_Loss,Train_Force_Loss,Valid_Force_Loss,Train_Stress_Loss,Valid_Stress_Loss,Train_TotalLoss,Valid_TotalLoss
102,0.004000,0.442684,0.679970,2.979173,0.698450,1049.427011,159.214747,0.046125,0.046937,0.097025,0.082733,8.595022,6.894488,0.000416,0.000425,0.000916,0.000777,0.085914,0.069032,0.002192,0.001892
103,0.004000,125628.678172,0.701976,196850.733948,1.554302,1333735027.262140,166.726290,305.743719,0.096731,139.930093,0.170831,797437.625757,13.356502,3.056740,0.000920,1.067681,0.001647,7972.676515,0.133634,83.851186,0.003904
104,0.004000,0.425701,0.691102,1.850556,1.247671,218.291392,164.620254,0.080261,0.084068,0.160313,0.151619,12.552126,11.602516,0.000755,0.000793,0.001540,0.001456,0.125484,0.116105,0.003550,0.003411
105,0.004000,0.416025,0.687044,1.831130,2.277078,196.676144,140.106366,0.071202,0.075901,0.146262,0.144477,10.928891,10.514734,0.000665,0.000712,0.001402,0.001382,0.109249,0.105255,0.003160,0.003147
106,0.004000,0.410658,0.684298,1.780920,0.821118,181.685926,149.323859,0.065819,0.071086,0.136759,0.134590,10.049922,10.013347,0.000611,0.000664,0.001308,0.001293,0.100460,0.100247,0.002924,0.002960
107,0.004000,0.408093,0.686117,1.781958,0.640968,176.098969,211.822030,0.061936,0.068421,0.130044,0.127829,9.353186,9.998627,0.000573,0.000638,0.001242,0.001227,0.093495,0.100094,0.002750,0.002866
108,0.004000,0.404531,0.682465,1.805834,1.068535,179.171030,137.265209,0.058655,0.064083,0.124023,0.123003,8.943213,9.169515,0.000540,0.000595,0.001183,0.001176,0.089393,0.091808,0.002617,0.002688
109,0.004000,0.402736,0.682272,1.779616,1.809823,172.976744,185.254510,0.055451,0.062137,0.117732,0.119923,8.429593,8.973492,0.000508,0.000575,0.001121,0.001140,0.084257,0.089843,0.002472,0.002614
110,0.004000,0.402183,0.680183,1.789773,0.514918,192.127131,148.815722,0.052724,0.061467,0.111917,0.108958,8.145585,8.810592,0.000481,0.000568,0.001064,0.001038,0.081417,0.088215,0.002359,0.002489
111,0.004000,0.400037,0.684086,1.830600,0.628570,172.503073,175.633553,0.049701,0.061857,0.104563,0.102798,7.705181,8.861626,0.000451,0.000572,0.000991,0.000980,0.077015,0.088707,0.002213,0.002439
112,0.004000,0.398794,0.682813,1.889111,1.369620,175.881943,141.612940,0.046763,0.057225,0.097332,0.095562,7.342547,7.517517,0.000422,0.000526,0.000921,0.000903,0.073393,0.075264,0.002077,0.002182
113,0.004000,0.398036,0.680881,1.852700,2.563420,165.033330,159.273345,0.043442,0.057100,0.089368,0.092880,6.842074,7.315581,0.000389,0.000524,0.000842,0.000870,0.068380,0.073258,0.001915,0.002127
114,0.004000,0.397170,0.681609,1.936433,2.222687,183.867665,155.610060,0.040174,0.049815,0.082371,0.085737,6.482312,7.061004,0.000357,0.000453,0.000773,0.000802,0.064782,0.070696,0.001777,0.001961
115,0.004000,0.395686,0.680199,1.904343,2.947888,167.659363,158.807803,0.038188,0.046974,0.078813,0.088286,6.240233,6.910510,0.000337,0.000425,0.000737,0.000819,0.062363,0.069177,0.001698,0.001936
116,0.004000,0.396025,0.685494,1.861979,0.734190,193.127400,163.529647,0.037056,0.048322,0.076728,0.081689,6.202138,6.982293,0.000326,0.000438,0.000717,0.000769,0.061988,0.069897,0.001663,0.001906
117,0.004000,0.395597,0.682469,1.796821,0.758389,176.913827,133.036750,0.036018,0.048145,0.074892,0.081267,6.035659,6.527216,0.000316,0.000436,0.000698,0.000761,0.060315,0.065342,0.001617,0.001851
118,0.004000,0.395438,0.680712,1.877542,3.636852,171.123028,159.502388,0.035598,0.044158,0.074695,0.086733,6.009349,6.812820,0.000312,0.000398,0.000696,0.000805,0.060064,0.068194,0.001609,0.001885
119,0.004000,0.392666,0.680029,1.888824,3.129744,165.263815,154.732307,0.034636,0.044513,0.073131,0.085761,5.843298,6.676804,0.000302,0.000401,0.000682,0.000794,0.058395,0.066849,0.001568,0.001863
